DATASET, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,Random Forest,No Sampling,0.9170520499780302,0.9570345044264758,0.8951927800004689,0.48293374533192984,188.43478260869566,16.608695652173914,25.08695652173913,10.391304347826088
zookeeper,Naive Bayes,No Sampling,0.9020500294375009,0.9519128027151019,0.8432956433687457,0.4514796465942502,374.39130434782606,40.21739130434783,43.17391304347826,23.26086956521739
zookeeper,IBk,No Sampling,0.9038567186922016,0.9450627371280886,0.8060633688086678,0.4417236140010981,556.7391304347826,58.52173913043478,66.56521739130434,39.73913043478261
zookeeper,Random Forest,Undersampling,0.9139502574331059,0.896069235780525,0.7968305866535208,0.41772970510440977,1232.5652173913043,114.04347826086956,177.82608695652175,159.2173913043478
zookeeper,Naive Bayes,Undersampling,0.9131269566155377,0.8855736137569331,0.7939377843783454,0.40543834575950655,1394.8260869565217,131.1304347826087,202.43478260869566,195.7826086956522
zookeeper,IBk,Undersampling,0.9149558608947245,0.862201472369723,0.7846523365252903,0.3900279225997302,1528.7826086956522,140.7826086956522,234.47826086956522,260.6521739130435
zookeeper,Random Forest,Oversampling,0.9098593153234404,0.9366647199474316,0.8231702296542771,0.44661608888526944,735.9130434782609,71.65217391304348,95.1304347826087,59.391304347826086
zookeeper,Naive Bayes,Oversampling,0.9084793345162842,0.92647072525502,0.815648425538611,0.4363901088018392,909.5652173913044,90.3913043478261,118.08695652173913,84.56521739130434
zookeeper,IBk,Oversampling,0.9093452097472899,0.9183894767478963,0.8013059507477855,0.4276003336780336,1081.1304347826087,106.21739130434783,143.95652173913044,111.82608695652173
zookeeper,Random Forest,SMOTE,0.9160593096157909,0.8695504808105352,0.7927737463432304,0.3999336963748162,1713.0434782608695,155.2608695652174,261.69565217391306,275.2173913043478
zookeeper,Naive Bayes,SMOTE,0.9157806706026304,0.8651480722591838,0.7911083096362922,0.39397268074251707,1876.0869565217392,170.8695652173913,287.7826086956522,311.0
zookeeper,IBk,SMOTE,0.9158355899586063,0.8669438074263319,0.7883991754955307,0.39650221673812924,2049.695652173913,186.82608695652175,313.5217391304348,336.2173913043478
