DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,1,50.0,Random Forest,No Sampling,0.9615384615384616,1.0,0.8477777777777777,0.0,150.0,6.0,0.0,0.0
zookeeper,2,64.86486486486487,Random Forest,No Sampling,0.9702380952380952,0.9939024390243902,0.8969512195121951,-0.009960159362550014,163.0,5.0,0.0,1.0
zookeeper,3,74.0,Random Forest,No Sampling,0.8579881656804734,1.0,0.6073275862068965,0.0,145.0,24.0,0.0,0.0
zookeeper,4,77.19714964370546,Random Forest,No Sampling,0.9542857142857143,0.9766081871345029,0.880395433027012,0.6499544211485871,167.0,8.0,13.0,4.0
zookeeper,5,81.43133462282398,Random Forest,No Sampling,0.8324324324324325,1.0,0.8991797676008202,0.2659102121361615,154.0,31.0,7.0,0.0
zookeeper,6,84.33931484502448,Random Forest,No Sampling,0.9254658385093167,0.9738562091503268,0.9451985922574158,0.7212847033206313,149.0,12.0,27.0,4.0
zookeeper,7,87.8853046594982,Random Forest,No Sampling,0.900709219858156,0.9769230769230769,0.9083826429980276,0.6856330014224753,127.0,14.0,25.0,3.0
zookeeper,8,85.3211009174312,Random Forest,No Sampling,0.958974358974359,0.8738317757009346,0.8289000718907261,0.4285714285714285,187.0,8.0,18.0,27.0
zookeeper,9,87.2,Random Forest,No Sampling,0.9073170731707317,0.9253731343283582,0.7882382957009822,0.4570858283433133,186.0,19.0,20.0,15.0
zookeeper,10,88.65248226950355,Random Forest,No Sampling,0.8720379146919431,0.9735449735449735,0.8832866479925303,0.527151828592538,184.0,27.0,24.0,5.0
zookeeper,11,89.77079796264856,Random Forest,No Sampling,0.8357487922705314,0.9774011299435028,0.9185646186440678,0.52465483234714,173.0,34.0,30.0,4.0
zookeeper,12,89.6158235070369,Random Forest,No Sampling,0.8728813559322034,0.9279279279279279,0.8682211623388094,0.37985185185185194,206.0,30.0,21.0,16.0
zookeeper,13,91.602787456446,Random Forest,No Sampling,0.925,0.9296482412060302,0.9186408231634362,0.5779334500875656,185.0,15.0,27.0,14.0
zookeeper,14,91.31403118040089,Random Forest,No Sampling,0.9174311926605505,0.9174311926605505,0.8898665554628857,0.5901584653878232,200.0,18.0,37.0,18.0
zookeeper,15,92.00819672131148,Random Forest,No Sampling,0.9130434782608695,0.9905660377358491,0.946412001237241,0.7405167199516114,210.0,20.0,41.0,2.0
zookeeper,16,92.57452574525745,Random Forest,No Sampling,0.9279279279279279,0.9809523809523809,0.9764508928571428,0.7819165870741801,206.0,16.0,48.0,4.0
zookeeper,17,93.84537131230925,Random Forest,No Sampling,0.9073170731707317,0.9841269841269841,0.9654088050314465,0.701870310225109,186.0,19.0,34.0,3.0
zookeeper,18,94.20220412074748,Random Forest,No Sampling,0.9639175257731959,0.9894179894179894,0.9518818009384047,0.8874651234886846,187.0,7.0,46.0,2.0
zookeeper,19,93.75561545372867,Random Forest,No Sampling,0.9181818181818182,0.9619047619047619,0.9554271708683474,0.7336772291820193,202.0,18.0,50.0,8.0
zookeeper,20,94.12262156448203,Random Forest,No Sampling,0.8828828828828829,0.98,0.905448717948718,0.7075326132697434,196.0,26.0,52.0,4.0
zookeeper,21,94.41117764471058,Random Forest,No Sampling,0.8868778280542986,0.9849246231155779,0.9567591041627893,0.735510424397814,196.0,25.0,56.0,3.0
zookeeper,22,93.87296233839236,Random Forest,No Sampling,1.0,0.7760736196319018,0.9555214723926381,0.02075727119826051,253.0,0.0,1.0,73.0
zookeeper,23,93.82911392405063,Random Forest,No Sampling,1.0,0.9173789173789174,0.9554271725783456,0.0,322.0,0.0,0.0,29.0
zookeeper,1,50.0,Naive Bayes,No Sampling,0.9676375404530745,0.9966666666666667,0.7320833333333333,0.2552083333333339,299.0,10.0,2.0,1.0
zookeeper,2,64.86486486486487,Naive Bayes,No Sampling,0.9759036144578314,0.9878048780487805,0.8455792682926829,0.23298033282904776,324.0,8.0,2.0,4.0
zookeeper,3,74.0,Naive Bayes,No Sampling,0.8652694610778443,0.996551724137931,0.6623922413793103,0.09562587249883625,289.0,45.0,3.0,1.0
zookeeper,4,77.19714964370546,Naive Bayes,No Sampling,0.9552238805970149,0.935672514619883,0.8268240044555834,0.5391202802646947,320.0,15.0,27.0,22.0
